sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
70980,619,6,5,1,32.89,,
70981,916,22,12,10,10.53,,
70983,984,60,6,54,19.08,,
70989,927,0,0,0,17.11,,
70991,963,5,5,0,21.05,,
70992,964,6,2,4,37.11,,
70993,965,0,0,0,50.72,,
70994,844,2,0,2,65.13,,
70995,942,0,0,0,12.63,,
70997,840,0,0,0,33.42,,
70998,841,5,2,3,63.68,,
71010,B285C-HW-MM,1,1,0,1149.72,,
71019,RF15100,0,0,0,13.72,20.98,
71020,RF15101,5,3,2,7.83,,
71021,RF15111,0,0,0,9.27,,
71022,RF15141,0,0,0,12.12,,
71023,RF15151,0,0,0,9.99,,
71024,RF15171,0,0,0,13.56,20.73,
71025,RF15174,5,2,3,23.90,36.57,
71026,RF15180,0,0,0,16.05,24.56,
71027,RF15202,8,5,3,15.56,23.80,
71028,RF15212,0,0,0,17.22,26.35,
71029,RF15302,0,0,0,21.77,33.29,
71030,RF15312,0,0,0,23.90,36.57,
71031,RF15711,5,2,3,20.33,31.11,
71032,63407,0,0,0,35.70,,
71033,63410,0,0,0,73.36,,
71034,60175,0,0,0,14.66,,
71035,60176,0,0,0,13.74,,
71037,60177,0,0,0,14.66,,
71038,60178,0,0,0,13.74,,
71039,60179,0,0,0,14.64,,
71044,68900,3,2,1,190.49,,
71045,68902,4,2,2,197.41,,
71046,68904,2,2,0,224.49,,
71047,68906,2,0,2,244.41,,
71052,58542-1000,5,2,3,18.91,,
71053,S-1850,0,0,0,72.95,,
71054,S-1852,4,2,2,92.01,,
71055,S-1854,5,3,2,125.86,,
71056,62-541-MARINE-BL,43,30,13,49.94,,
71057,62-541-R-MARINE-BL,0,0,0,52.44,,
71058,62-542-R-MARINE-BL,0,0,0,52.44,,
71060,RF4055,14,6,8,55.53,84.96,
71061,RF4055A,11,2,9,55.53,84.96,
71062,RF4055B,9,7,2,55.53,84.96,
71063,547,6,2,4,85.00,,
71066,SH-0126-200,0,0,0,14.79,,
71069,CA-0147,2,0,2,12.07,,
71071,S-0232C,5,3,2,14.39,,
71072,P-2400,0,0,0,5.57,,
71073,P-2401,1,1,0,6.46,,
71074,P-2402,4,3,1,16.76,,
71075,P-0440B,22,8,14,19.79,,
71076,P-0441B,11,3,8,22.86,,
71077,P-0442B,3,2,1,29.65,,
71078,P-0440,13,10,3,19.79,,
71079,P-0441,27,19,8,22.86,,
71080,P-0442,11,6,5,29.65,,
71081,P-0443,3,0,3,69.55,,
71082,63448,2,2,0,25.28,,
71083,63449,2,0,2,39.63,,
71084,63450,0,0,0,52.04,,
71085,SH-0126-390,0,0,0,18.49,,
71086,SH-0126-820,0,0,0,14.79,,
71087,000-157-939-10,0,0,0,86.36,,
71091,W700-800-WHITE,0,0,0,279.92,,
71127,W705-WHITE,0,0,0,230.97,,
71145,010-12225-00,1,1,0,41.24,,
71165,W709-SUPA,1098,536,562,79.99,,
71166,W730,8,5,3,19.68,,
71167,W731,3,2,1,6.42,,
71168,W749,1,1,0,7.55,,
71169,W734,0,0,0,10.85,,
71170,W738,0,0,0,10.85,,
71174,CVC627MT,0,0,0,118.75,,
71185,GP1871F,5,2,3,724.95,,
71187,GP1971F,3,0,3,1048.95,,
71189,CM599C-LHW,0,0,0,3535.51,,
71192,6135C,3,2,1,30.44,,
71193,6136C,0,0,0,34.95,,
71194,6137C,5,3,2,24.70,,
71195,6138C,0,0,0,29.76,,
71196,S-0250C,0,0,0,72.43,,
71197,S-0251C,2,2,0,76.06,,
71199,6095KEY,26,6,20,5.74,,
71200,3360BC,5,5,0,3.75,,
71201,3360WC,0,0,0,3.75,,
71202,3364BC,0,0,0,4.97,,
71203,3364WC,0,0,0,4.97,,
71204,010-12718-00,0,0,0,18.74,,
71205,3227BC,0,0,0,14.93,,
71206,3227WC,0,0,0,14.93,,
71207,3228BC,0,0,0,15.93,,
71208,3228WC,0,0,0,15.93,,
71209,S-1415BC,10,5,5,33.70,,
71210,S-1417BC,0,0,0,24.24,,
71211,S-1415WC,0,0,0,29.49,,
71212,S-1417WC,0,0,0,24.24,,
71213,6228KEY,18,12,6,3.28,,
71214,6075C,0,0,0,14.41,,
71225,40020506,4,1,3,1393.21,,
71226,011810,0,0,0,830.98,,
71228,011811,0,0,0,833.70,,
71230,20641,3,0,3,106.99,171.19,
71231,09-1088-23,7,4,3,27.28,,
71235,950520,6,6,0,21.94,,
71236,951520,7,3,4,21.94,,
71237,950622,14,11,3,37.04,,
71238,1005,0,0,0,13.47,,
71239,951622,9,6,3,37.04,,
71240,950824,5,3,2,57.13,,
71241,951824,10,2,8,57.13,,
71242,252000,6,6,0,17.36,,
71243,252004,7,6,1,17.36,,
71244,262300,7,5,2,26.91,,
71246,282600,0,0,0,46.81,,
71247,282604,1,1,0,46.81,,
