itemnumber,available,price1,price2,price3,qty1,qty2,qty3
03603091060,12,"9.25","","","1","",""
03603101069,11,"9.00","","","1","",""
03603111234,9,"8.50","","","1","",""
03603121235,11,"8.50","","","1","",""
03603131301,13,"9.00","","","1","",""
03608011192,23,"9.25","","","1","",""
03608021190,18,"9.25","","","1","",""
03608031186,12,"9.25","","","1","",""
03608041188,19,"9.25","","","1","",""
03608051187,11,"9.75","","","1","",""
03608061189,11,"9.25","","","1","",""
03608071191,0,"9.25","","","1","",""
03608081184,9,"9.25","","","1","",""
03608091185,36,"9.25","","","1","",""
03608101193,24,"9.25","","","1","",""
03608111254,23,"9.25","","","1","",""
03608121255,12,"9.25","","","1","",""
03608131311,3,"9.25","","","1","",""
036BLK,9,"8.30","","","1","",""
036TAN,8,"8.30","","","1","",""
03850,9,"8.02","","","1","",""
03851,5,"8.02","","","1","",""
03852,9,"8.02","","","1","",""
03853,6,"8.02","","","1","",""
03854,3,"8.02","","","1","",""
03880,6,"7.44","","","1","",""
03881,5,"7.44","","","1","",""
03882,9,"7.44","","","1","",""
03885,13,"7.44","","","1","",""
03886,5,"7.44","","","1","",""
03889,2,"7.44","","","1","",""
03890,36,"11.99","","","1","",""
03894,6,"7.44","","","1","",""
03952,4,"32.67","","","1","",""
03960,10,"15.05","","","1","",""
03960U,4,"19.45","","","1","",""
03962,16,"8.25","","","1","",""
03963,35,"9.55","","","1","",""
03964,5,"9.55","","","1","",""
0402203111,1,"62.00","","","1","",""
0402243111,2,"67.85","","","1","",""
04036,4,"17.19","","","1","",""
04038,0,"3.20","","","1","",""
04045,12,"15.10","","","1","",""
04050,0,"13.73","","","1","",""
04051,7,"27.49","","","1","",""
04070,0,"137.58","","","1","",""
04171,3,"44.16","","","1","",""
04400,1,"68.84","","","1","",""
04412,11,"15.47","","","1","",""
04414,0,"15.47","","","1","",""
04417,0,"15.47","","","1","",""
04418,0,"15.47","","","1","",""
04428,0,"13.48","","","1","",""
04500,4,"55.37","","","1","",""
04501,0,"55.37","","","1","",""
04502,2,"54.77","","","1","",""
04503,4,"54.77","","","1","",""
04504,5,"57.74","","","1","",""
04505,10,"57.74","","","1","",""
04507,3,"55.37","","","1","",""
04509,6,"97.03","","","1","",""
04510,4,"57.74","","","1","",""
04512,3,"57.74","","","1","",""
045TA02Z0,3,"36.53","","","1","",""
045TAR7Z0,0,"36.53","","","1","",""
0465003111,2,"66.70","","","1","",""
05001010,34,"15.45","","","1","",""
05001011,31,"18.95","","","1","",""
05008,3,"26.94","","","1","",""
05012,5,"41.60","","","1","",""
05014,18,"17.81","","","1","",""
05015,8,"23.77","","","1","",""
05058,0,"33.25","","","1","",""
05067,2,"28.66","","","1","",""
0508041,0,"18.24","","","1","",""
05103,1,"10.04","","","1","",""
05161,4,"7.44","","","1","",""
05164,7,"7.44","","","1","",""
05170,1,"7.44","","","1","",""
05172,4,"7.44","","","1","",""
05174,6,"7.44","","","1","",""
05175,1,"7.44","","","1","",""
05176,4,"7.44","","","1","",""
05179,1,"7.44","","","1","",""
0523041,33,"11.22","","","1","",""
05548,0,"95.45","","","1","",""
0568041,33,"12.15","","","1","",""
05775,6,"15.10","","","1","",""
05903Z,0,"3.56","","","1","",""
05904Z,2,"3.56","","","1","",""
05905Z,0,"3.56","","","1","",""
05920,12,"3.56","","","1","",""
05921,1,"3.56","","","1","",""
06031R,13,"1.95","","","1","",""
06039,0,"9.50","","","1","",""
062BASAZ0,0,"48.15","","","1","",""
06601,0,"16.57","","","1","",""
06602,2,"16.57","","","1","",""
06605,0,"3.75","","","1","",""
06610,7,"6.73","","","1","",""
06612,6,"7.42","","","1","",""
06710,0,"15.87","","","1","",""
06712,0,"15.87","","","1","",""
06713,18,"15.87","","","1","",""
06716,0,"15.87","","","1","",""
06717,0,"15.87","","","1","",""
067BA02Z0,0,"53.68","","","1","",""
067BA21Z0,4,"56.45","","","1","",""
067BA80Z0,1,"53.68","","","1","",""
067BA88Z0,2,"56.45","","","1","",""
067BAB2Z0,3,"56.45","","","1","",""
067BAM9Z0,1,"56.45","","","1","",""
067BAN7Z0,2,"56.45","","","1","",""
067TA02Z0,0,"53.68","","","1","",""
067TA21Z0,2,"56.45","","","1","",""
067TA80Z0,1,"53.68","","","1","",""
067TAB2Z0,2,"56.45","","","1","",""
067TAM9Z0,0,"56.45","","","1","",""
06820,18,"15.20","","","1","",""
06850,52,"3.87","","","1","",""
06862,0,"8.98","","","1","",""
06864,45,"3.28","","","1","",""
06898,36,"5.01","","","1","",""
06949,0,"15.03","","","1","",""
06965,0,"10.94","","","1","",""
0701002,2,"7.32","","","1","",""
0701005,22,"11.40","","","1","",""
07011,8,"14.38","","","1","",""
07042,6,"18.12","","","1","",""
07044,10,"18.12","","","1","",""
07046,10,"18.12","","","1","",""
07047,3,"18.12","","","1","",""
07049,4,"18.12","","","1","",""
07067,3,"6.61","","","1","",""
07096,0,"9.94","","","1","",""
07110,6,"68.84","","","1","",""
07119,9,"99.12","","","1","",""
07260,7,"68.84","","","1","",""
07269,5,"99.12","","","1","",""
0730TAN,15,"112.75","","","1","",""
07360,5,"68.84","","","1","",""
07369,4,"99.12","","","1","",""
0737,0,"33.45","","","1","",""
0740LYEL,0,"288.00","","","1","",""
07479,2,"99.12","","","1","",""
0750LRBLK,3,"488.95","","","1","",""
07579,12,"99.12","","","1","",""
0767,0,"58.35","","","1","",""
07707,7,"3.11","","","1","",""
07708,6,"3.11","","","1","",""
07739,0,"3.11","","","1","",""
07740,9,"5.02","","","1","",""
07741,18,"7.28","","","1","",""
07746,19,"5.02","","","1","",""
07755,1,"4.47","","","1","",""
07757,41,"2.54","","","1","",""
07758,12,"8.41","","","1","",""
07795,13,"3.11","","","1","",""
0783,4,"69.04","","","1","",""
07901,0,"6.15","","","1","",""
0799,2,"30.59","","","1","",""
0825NV,6,"144.10","","","1","",""
0835NV,6,"168.25","","","1","",""
0855LVOLV,0,"345.35","","","1","",""
0857ALBLK,5,"603.75","","","1","",""
0857ALFDE,2,"603.75","","","1","",""
0857ALOLV,2,"603.75","","","1","",""
0857ALTAN,0,"603.75","","","1","",""
0857BLTAN,0,"414.95","","","1","",""
0857HLSND,2,"495.88","","","1","",""
0857XALFDEM,0,"827.08","","","1","",""
0857XALTANM,0,"827.08","","","1","",""
086BA21Z0,0,"50.36","","","1","",""
086BA3QZ0,2,"47.60","","","1","",""
086BA7QZ0,3,"50.36","","","1","",""
086BA8BZ0,3,"50.36","","","1","",""
086BA8JZ0,2,"50.36","","","1","",""
086BA9PZ0,2,"50.36","","","1","",""
086BAE1Z0,2,"50.36","","","1","",""
086BAE8Z0,2,"50.36","","","1","",""
086BAX7Z0,1,"50.36","","","1","",""
086BB8JZ0,1,"50.36","","","1","",""
086BB9PZ0,3,"50.36","","","1","",""
086TA21Z0,2,"50.36","","","1","",""
086TA3QZ0,1,"47.60","","","1","",""
086TA7QZ0,1,"50.36","","","1","",""
086TA88Z0,2,"50.36","","","1","",""
086TA8BZ0,2,"50.36","","","1","",""
086TA8JZ0,0,"50.36","","","1","",""
086TA9PZ0,1,"50.36","","","1","",""
086TAE1Z0,3,"50.36","","","1","",""
086TAE8Z0,1,"50.36","","","1","",""
086TAL7Z0,1,"50.36","","","1","",""
086TAX7Z0,0,"50.36","","","1","",""
086TB8JZ0,3,"50.36","","","1","",""
086TB9PZ0,2,"50.36","","","1","",""
08714,31,"17.81","","","1","",""
08715,2,"23.77","","","1","",""
09001,4,"44.48","","","1","",""
09005,2,"44.48","","","1","",""
09006,1,"44.48","","","1","",""
09009,3,"44.48","","","1","",""
0C289CL,11,"11.50","","","1","",""
0C289CX,0,"11.50","","","1","",""
0E154CL,4,"8.25","","","1","",""
0E154CXL,13,"8.25","","","1","",""
0E206BCLXL,0,"8.88","","","1","",""
0E206BCSM,0,"8.88","","","1","",""
0E206CL,82,"10.25","","","1","",""
0E206CX,3,"10.25","","","1","",""
0E325CL,0,"19.75","","","1","",""
0E325CX,39,"19.75","","","1","",""
0E865CL,8,"13.75","","","1","",""
0E865CXL,0,"13.75","","","1","",""
10000,10,"19.19","","","1","",""
100001,5,"37.49","","","1","",""
100002,37,"37.49","","","1","",""
100003,6,"40.99","","","1","",""
100005,23,"76.21","","","1","",""
100006,55,"115.47","","","1","",""
100024AX,9,"78.69","","","1","",""
100025AX,3,"37.37","","","1","",""
100051AX,1,"117.97","","","1","",""
100053,6,"35.57","","","1","",""
100054AX,8,"128.70","","","1","",""
100062AX,1,"68.99","","","1","",""
10006G,6,"56.16","","","1","",""
10006L,163,"2.50","","","1","",""
100076Z,5,"2.77","","","1","",""
100086,4,"7.05","","","1","",""
100089,0,"6.72","","","1","",""
100091,6,"5.93","","","1","",""
100092,3,"5.93","","","1","",""
100095,0,"6.72","","","1","",""
